product_id,product_name,unit_price
9560,"Thinking, Fast and Slow",150.0
7350,The Power of Habit,46.99
2104,Cashmere Scarf,51.02
5013,Smartwatch Series 5,110.42
5612,Zero to One,29.77
1949,Smartwatch Series 5,125.96
3308,Portable Charger 20000mAh,68.09
7059,Crew-Neck Graphic Tee,89.29
5415,Smart LED Desk Lamp,91.71
7648,Action Camera 4K,22.79
9350,Retinol Night Cream,78.8
3836,Tinted Moisturizer SPF 30,38.84
2412,Jade Roller Face Massager,62.25
3452,Sapiens,62.32
4428,Casual Canvas Sneakers,57.88
6318,USB-C Laptop Stand,36.46
9140,"4K OLED Smart TV 55""",67.95
5107,Cycling Helmet,62.05
4039,Denim Straight-Leg Jeans,68.58
8081,Ashwagandha Capsules,123.94
9401,Basketball Official Size,39.17
2560,Waterproof Mascara,82.83
1210,Smart Home Hub,64.99
1994,Oat Milk Barista Edition,103.46
2307,Gym Bag Large,57.51
517,Waterproof Mascara,101.26
1892,Meditations by Marcus Aurelius,74.94
8974,Knee Sleeves Compression,85.47
1767,Keratin Smoothing Shampoo,119.54
7587,Puffer Down Jacket,95.44
4129,USB-C Laptop Stand,59.61
293,Classic Oxford Button-Down Shirt,58.32
3424,Steam Mop,50.5
5464,Merino Wool V-Neck Sweater,102.43
4543,The Lean Startup,62.6
8489,Turmeric Gummies,43.06
9893,Formal Blazer Slim,44.59
3319,Portable Charger 20000mAh,55.93
6693,Ceramic Dinnerware Set 12-Piece,63.7
5748,Under-Cabinet LED Lights,48.98
4274,Ergonomic Gaming Mouse,62.87
4195,Tinted Moisturizer SPF 30,95.2
6445,Educated: A Memoir,127.4
4951,Leather Chelsea Boots,59.73
6601,Puffer Down Jacket,80.47
4594,Crew-Neck Graphic Tee,60.76
3310,Agility Ladder,36.78
1059,Ashwagandha Capsules,99.5
2125,Aromatherapy Diffuser,86.02
3410,Meditations by Marcus Aurelius,66.99
7197,Denim Straight-Leg Jeans,116.65
5248,E-Reader Paperwhite,56.18
4052,USB-C Laptop Stand,67.75
2039,The Power of Habit,81.04
6629,Raw Honey Local 32oz,67.06
7531,Smart LED Desk Lamp,62.7
5773,Weight Belt,96.52
3108,Running Shoes Trail,101.09
675,Stainless Steel Knife Set,53.63
6013,Contour Palette 3 Shades,41.83
9974,SPF 50 Sunscreen Lightweight,43.83
4104,Memory Foam Pillow,97.5
1155,Micellar Cleansing Water,41.64
1542,Ceramic Dinnerware Set 12-Piece,30.18
8933,Dash Cam Front & Rear,75.72
2370,Running Shoes Trail,97.47
7828,Ab Wheel Roller,79.53
6405,Lightweight Running Shorts,54.54
7239,Good to Great,68.54
8124,Organic Quinoa 2lb,70.95
5763,Portable Bluetooth Speaker,100.04
3036,Turmeric Gummies,30.53
9899,Knee Sleeves Compression,60.31
6274,Leather Chelsea Boots,89.49
5632,Vitamin C Serum 20%,97.48
953,Cotton Percale Sheet Set Queen,46.08
7083,Contour Palette 3 Shades,62.91
2697,Puffer Down Jacket,80.28
9164,Cotton Percale Sheet Set Queen,73.13
4617,"4K OLED Smart TV 55""",91.57
542,12 Rules for Life,60.37
8904,Cargo Shorts,100.5
3163,Under-Cabinet LED Lights,95.18
1500,Grass-Fed Whey Protein,69.38
8415,Digital Kitchen Scale,48.41
4313,Battle Ropes 40ft,57.61
8311,Eyeshadow Palette 18 Shades,97.9
5740,The Power of Habit,88.47
4480,Turmeric Gummies,80.59
1090,Vitamin C Serum 20%,97.73
9688,Jump Rope Speed,106.85
9114,The Innovators,37.78
3066,Coconut Aminos Sauce,46.88
2884,Coconut Aminos Sauce,35.15
7999,Knee Sleeves Compression,72.95
3997,Charcoal Face Mask,125.96
4862,Smartwatch Series 5,72.27
5779,Micellar Cleansing Water,75.99
6271,Mechanical Keyboard,126.0
8851,Jump Rope Speed,77.99
5862,Ceramic Dinnerware Set 12-Piece,101.42
4637,Contour Palette 3 Shades,37.73
8806,Cashmere Scarf,46.6
5243,Grass-Fed Whey Protein,86.85
4524,Adjustable Dumbbells 50lb,102.97
3112,USB-C Laptop Stand,34.98
8838,Silicone Baking Mat Set,73.17
5610,Classic Oxford Button-Down Shirt,68.71
7647,Shower Curtain Liner,72.76
2122,Cotton Percale Sheet Set Queen,32.29
3496,Swimming Goggles Anti-Fog,48.14
4370,Knee Sleeves Compression,88.39
1160,Puffer Down Jacket,26.12
4712,High-Waist Yoga Leggings,60.99
1198,Waterproof Mascara,84.73
4346,Eyebrow Pencil Micro,52.7
1416,Becoming,83.56
6637,Coconut Aminos Sauce,101.11
8914,Swimming Goggles Anti-Fog,91.01
2237,Setting Powder Translucent,102.91
2158,Jump Rope Speed,78.95
1585,Designing Data-Intensive Applications,64.75
8102,The Art of War,103.85
6015,Educated: A Memoir,88.2
5105,SPF 50 Sunscreen Lightweight,83.61
6944,Webcam 1080p,68.65
377,Turmeric Gummies,67.53
3173,Digital Kitchen Scale,120.97
813,Atomic Habits,85.02
2505,Grass-Fed Whey Protein,103.04
4854,Deep Work,133.5
5450,Smart Plug 4-Pack,95.64
5462,Coconut Aminos Sauce,107.22
6632,Lightweight Running Shorts,107.05
667,Smart LED Desk Lamp,67.9
8906,Electric Toothbrush Smart,59.8
4330,Weight Belt,50.5
9582,Educated: A Memoir,87.14
1284,Waterproof Mascara,83.28
4790,Pour-Over Coffee Set,62.86
3302,Probiotic Supplement 30B CFU,95.01
8713,Adjustable Dumbbells 50lb,86.62
9665,Waterproof Mascara,31.72
1960,Sapiens,61.51
4087,Dish Rack Stainless Steel,86.03
5565,Formal Blazer Slim,133.17
8366,Setting Powder Translucent,99.97
2231,Slim-Fit Chino Trousers,78.77
2378,Oversized Hoodie,90.51
1447,Charcoal Face Mask,50.86
9564,Extra Virgin Olive Oil 500ml,49.58
3385,Meditations by Marcus Aurelius,59.47
2998,Probiotic Supplement 30B CFU,43.5
9372,Jade Roller Face Massager,90.37
5687,Pull-Up Bar Doorframe,72.09
5422,Battle Ropes 40ft,86.06
7502,Eyebrow Pencil Micro,42.97
7542,Portable Charger 20000mAh,47.11
8027,Tennis Racket Pro,70.47
8992,Under-Cabinet LED Lights,75.11
6599,Tinted Moisturizer SPF 30,69.24
2719,Portable Bluetooth Speaker,58.7
7305,Shower Curtain Liner,58.75
676,Turmeric Gummies,71.01
4558,Soccer Ball Size 5,40.35
272,Weight Belt,105.47
4266,Portable SSD 1TB,99.8
2483,Smart Home Hub,48.1
1256,Steam Mop,77.23
5037,The Innovators,86.01
7812,Educated: A Memoir,70.51
5359,Portable Bluetooth Speaker,72.86
178,Electric Toothbrush Smart,72.49
6319,Ashwagandha Capsules,113.48
8058,Digital Kitchen Scale,67.39
260,Becoming,58.63
4393,Collagen Peptides Unflavored,42.13
8742,Aromatherapy Diffuser,104.83
5484,Ankle Strap Sandals,52.86
9157,Aromatherapy Diffuser,76.72
6177,Extra Virgin Olive Oil 500ml,102.34
3510,Micellar Cleansing Water,65.52
2491,Smart LED Desk Lamp,93.15
1602,Casual Canvas Sneakers,71.22
9900,Portable Charger 20000mAh,21.74
6748,Cycling Helmet,94.5
1153,Waterproof Mascara,35.45
1804,Waterproof Rain Jacket,36.57
2371,Smart Plug 4-Pack,58.69
4625,Atomic Habits,90.84
4761,Ceramic Dinnerware Set 12-Piece,55.8
2155,Argan Oil Hair Treatment,79.24
2777,Gym Bag Large,94.92
2947,Glass Food Storage Containers,61.98
1913,Leather Chelsea Boots,134.43
566,Oversized Hoodie,94.83
4668,Matcha Green Tea Powder,70.42
5573,Adjustable Dumbbells 50lb,66.16
9829,Portable Charger 20000mAh,82.37
7591,Charcoal Face Mask,139.89
97,Basketball Official Size,85.41
4572,Organic Apple Cider Vinegar,75.43
477,Formal Blazer Slim,33.52
3721,Cycling Helmet,79.64
4051,Medicine Ball 15lb,60.06
6369,Weight Belt,118.61
7409,Zero to One,136.75
4921,Ashwagandha Capsules,44.23
4650,Shower Curtain Liner,41.94
5967,Wireless Earbuds Pro,72.43
2667,Digital Kitchen Scale,40.51
6456,Portable Charger 20000mAh,119.61
8883,Cashmere Scarf,68.55
9047,Silicone Baking Mat Set,57.04
868,Protein Shaker Bottle,25.42
6168,Bamboo Cutting Board Set,75.02
5124,Organic Apple Cider Vinegar,60.45
4714,"27"" Monitor 144Hz",111.47
8663,French Press Coffee Maker,50.37
